Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost ($),Tier,Competition,Protocol Fit,Priority Score,Notes,Data Quality
USA Cycling Gravel Nationals,La Crescent MN,USA,Midwest,September 20,100/74/31,7171,760+,95-175,1,HIGH,Technical,10,National Championship; Stars-and-Stripes jerseys; $20K purse; 43 categories,Verified
Bear 100,Laona WI,USA,Midwest,May 3,31/61/80/113,3000-5500,<200,55-85,3,LOW,Standard,10,Ironbear 1000 Series,Verified
Hungry Bear 100,Cable WI,USA,Midwest,May 10,30/60/100,4000-6500,1000,65-95,3,LOW,Standard,10.5,Ironbear 1000; 1000 participants chip-timed 2025,Verified
Crystal Bear,Laona WI to Crystal Falls MI,USA,Midwest,May 17-18,192 bikepacking,8000,<100,75,4,NONE,Technical/Cold,12,Ironbear 1000; overnight bikepacking format,Verified
Pickerel Buck40,Pickerel WI,USA,Midwest,June 1,140,4500,<100,FREE,4,NONE,Standard,11,Ironbear 1000; self-supported,Verified
Essential Gravel,Ringle WI,USA,Midwest,May 30-June 15,10/20/44,800-2000,<200,FREE,4,NONE,Standard,10,Ironbear 1000; free intro ride,Verified
The Insayner,Sayner WI,USA,Midwest,June 14,12/25,800-1500,<100,35-45,4,NONE,Standard,10.5,Ironbear 1000; Lambo Riders event,Estimated
Total Tomahawk Terrain,Tomahawk WI,USA,Midwest,June 21,33/63/103,3000-5500,<200,FREE,3,LOW,Standard,10.5,Ironbear 1000; 7th edition; free event,Verified
BURGR 95,Gleason WI,USA,Midwest,July 12,47/95,4000,<150,FREE,4,NONE,Standard,10,Ironbear 1000; free ride,Verified
Nicolet Hot Days,Wabeno WI,USA,Midwest,August 10,69,3500,<100,45,4,NONE,Standard,10.5,Ironbear 1000; community campout,Verified
Hardwood Hustle,Nelma WI,USA,Midwest,September 27,39/62/101,4500,<200,60-80,3,LOW,Standard,10.5,Ironbear 1000 Series,Verified
Hibernator,Laona WI,USA,Midwest,October 4,32/63/100,4000,<200,55-75,3,LOW,Cold,10.5,Ironbear 1000; fall colors,Verified
Red Granite Grinder,Athens WI,USA,Midwest,October 11,50/100/150,2800-6400,<500,65-95,3,LOW,Technical,11.5,Ironbear 1000 flagship; new routes 2025; top 3 WI cycling event,Verified
Melting Mann,Vandalia MI,USA,Midwest,March 22,23/38/58,2500,<200,45-65,3,LOW,Cold,10.5,MGRS Season opener,Verified
Barry-Roubaix,Hastings MI,USA,Midwest,April 12,18/36/62/100,4500,4000+,55-95,2,MED,Cold/Technical,8,MGRS; largest Midwest gravel race,Verified
Dirty 30,Saranac MI,USA,Midwest,April 19,16/30/50/100,3500,<500,45-75,3,LOW,Cold,10,MGRS Series,Verified
Hart Hills,Hart MI,USA,Midwest,May 10,13/25/55,2500,<200,40-60,4,NONE,Standard,10.5,MGRS Series,Verified
Cow Pie Classic,Ionia MI,USA,Midwest,June 14,20/34/63,2500,<300,45-65,3,LOW,Standard,10,MGRS Series,Verified
Coast to Coast,Au Gres to Ludington MI,USA,Midwest,June 28,100/204,6000,<200,75-125,3,LOW,Technical,11,MGRS; cross-Michigan,Verified
Cedar Blitz,Cedar Springs MI,USA,Midwest,July 12,18/36/50/130,3500,<300,45-75,3,LOW,Standard,10,MGRS; World Bicycle Relief fundraiser,Verified
The Crusher,Upper Peninsula MI,USA,Midwest,July 19,40/100/175,5000,<200,60-90,3,LOW,Technical,11,MGRS; UP wilderness,Verified
The Divide,Manton MI,USA,Midwest,July 27,18/30/44,2500,<200,40-60,4,NONE,Standard,10.5,MGRS Series,Verified
De Ronde Van Grampian,Oxford MI,USA,Midwest,August 2,12/25/50,2000,<200,40-60,4,NONE,Standard,10.5,MGRS Series,Verified
The Watermoo,Dexter MI,USA,Midwest,August 9,111,3500,<200,55-75,3,LOW,Standard,10.5,MGRS Series; Long+Ultra format,Verified
Fast Fitty,Charlotte MI,USA,Midwest,August 16,19/36/54,2500,<200,45-65,4,LOW,Standard,10,MGRS Series,Verified
Uncle John's Gravel Race,St Johns MI,USA,Midwest,September 7,16/28/57,2000,<200,45-65,4,NONE,Standard,10.5,MGRS; cider mill venue,Verified
Thunder Bay Thriller,Alpena MI,USA,Midwest,September 14,16/27/62,2500,<200,45-65,4,NONE,Standard,10.5,MGRS Series,Verified
Lone Wolf Gravel,Iron Mountain MI,USA,Midwest,September 28,36/50/100,4000,<200,55-80,3,LOW,Standard,10.5,MGRS Series,Verified
Lowell Classic,Lowell MI,USA,Midwest,October 25,15/38/54/100,3500,<300,50-75,3,LOW,Cold,10.5,MGRS Series Finale + Awards,Verified
Heywood Ride,Northfield MN,USA,Midwest,May 16,30/60/110/165/390,2000-8000,<300,Donation,4,NONE,Standard,11,Grassroots; donation-based; inclusive,Verified
Le Grand du Nord,Grand Marais MN,USA,Midwest,May 23,26/50/110,5000,<300,65-95,3,LOW,Technical,11,Spectacular North Shore course,Verified
Gray Duck Grit,Cannon Falls MN,USA,Midwest,September 5,50/69/111/222/333,6000-12000,<200,55-85,3,LOW,Technical,11,Grassroots Southern MN; ultra options,Verified
Heck of the North,Two Harbors MN,USA,Midwest,September 26,19/60/100,4500,<200,45-75,3,LOW,Technical,11,17th anniversary; snowmobile trails,Verified
Old Fashioned Gravel,Hokah MN,USA,Midwest,September 13,40/66/100,2000-6000,<200,55-85,4,LOW,Technical,11,Driftless Region; new venue,Verified
Spring Valley 100,Spring Valley MN,USA,Midwest,May 17,60/100,5000,<200,50-75,4,NONE,Standard,10.5,Driftless Region bluffs,Verified
Kalona Horseshoe,Kalona IA,USA,Midwest,May 10,31/62,1500,<150,40-50,4,NONE,Standard,10,Iowa Gravel Series,Verified
Silver City Century,Silver City IA,USA,Midwest,May 17,31/62,1800,<150,40-50,4,NONE,Standard,10,Iowa Gravel Series,Verified
Waukon 100,Waukon IA,USA,Midwest,June 21,31/62,2500,<150,40-50,4,NONE,Standard,10.5,Iowa Gravel Series; Driftless terrain,Verified
Albia Holy Cow,Albia IA,USA,Midwest,July 12,31/62,1500,<150,40-50,4,NONE,Standard,10,Iowa Gravel Series,Verified
Glenwood Gravel,Glenwood IA,USA,Midwest,August 9,31/62,1800,<150,40-50,4,NONE,Standard,10,Iowa Gravel Series,Verified
Soldier Cutoff Hillduro,Pisgah IA,USA,Midwest,September 20,31/62,2000,<150,40-50,4,NONE,Standard,10,Iowa Gravel Series,Verified
Fairfield Harvest Rush,Fairfield IA,USA,Midwest,October 4,31/62,1500,<150,40-50,4,NONE,Standard,10,Iowa Gravel Series finale,Verified
Prairie Burn 100,Grinnell IA,USA,Midwest,June,25/50/100,2000,<200,55-75,4,NONE,Standard,10.5,Music fest + gravel,Verified
Iowa Wind and Rock,Winterset IA,USA,Midwest,April 19-20,340,8000+,<100,FREE,4,NONE,Ultra,12,Ultra event; self-supported,Verified

