Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost ($),Tier,Competition,Protocol Fit,Priority Score,Notes,Data Quality
Highlands Gravel Classic,Fayetteville AR,USA,Southeast,April 26,68/54,4850/3700,1100,85,2,HIGH,Technical,9,Only US UCI age-group qualifier; 95% gravel through Ozarks,Verified
Reliance Tennessee Gravel,Reliance TN,USA,Southeast,April 25-27,65+50 (2-day),15000+,250,85-100,3,NONE,Technical,13,Two-day stage race format; Cherokee National Forest; cult following,Verified
Gravel Revival,Hickman County TN,USA,Southeast,October 17-19,50-70,Unknown,150,75,3,NONE,Standard,12,6th annual; benefits Make-A-Wish Foundation,Estimated
Waucheesi Bike Race,Tellico Plains TN,USA,Southeast,March 30,88/63/45,11500/8800,100-150,65,3,NONE,Technical,13,Cherokee/Nantahala forests; Cherohala Skyway; challenging climbs,Verified
Rust Buster Gravel Fondo,Memphis TN,USA,Southeast,April 5,50-100,3000,100-150,60,4,NONE,Standard,9.5,Early season event; growing Memphis cycling community,Estimated
Bootlegger 100,Lenoir NC,USA,Southeast,April 19,85/58,6000-8000,150-200,75,3,NONE,Technical,11.5,Pisgah Productions; Grandfather Ranger District; post-race meal,Verified
Uwharrie Forest Gravel Grinder,Central NC,USA,Southeast,February 23,40-60,4000,150-200,55-70,3,NONE,Standard,10.5,Trans-Sylvania Productions; chip timing; well-marked course,Verified
Holly Shelter Gravel Grinder,SE NC,USA,Southeast,March 23,40-60,Low,100-150,55-65,3,NONE,Flat/Technical,9.5,Trans-Sylvania Productions; coastal terrain; game land,Estimated
Pisgah Monster-Cross Challenge,Brevard NC,USA,Southeast,October,69.2,8777,150-200,80,3,NONE,Technical,11.5,Premier all-road racing since 2012; brutal Pisgah terrain,Verified
Hot Springs Gravel Gauntlet,Hot Springs NC,USA,Southeast,March 29,50-70,5000+,100-150,70,3,NONE,Technical,13,Southeast Gravel Series; Blue Ridge foothills; epic climbing,Verified
Southern Cross Gravel,Dahlonega GA,USA,Southeast,March 1,50-100,5000+,150-200,75-85,3,LOW,Technical,11.5,Montaluce Winery start; North Georgia Mountains; cult following,Verified
Homegrown Gravel Adventure,Franklin GA,USA,Southeast,February 28,100/62/40/20,8000/5000,300-400,85,3,NONE,Standard,12,50% Georgia/50% Alabama course; $10K prize purse 2026; strong community,Verified
Dirty Sheets Gravel Grind,Chattahoochee Hills GA,USA,Southeast,October 11,100/62/22,6000,200,70-80,3,NONE,Standard,12,Mixed-surface with singletrack; live music; MTB Atlanta organized,Verified
Rose City Rampage Gravel Race,Thomasville GA,USA,Southeast,March 22,60/30,Low,100-150,60,4,NONE,Heat,9.5,South Georgia clay roads; plantation country; 300 miles of clay roads,Estimated
Gravel Roll - Pecan Shaker,Hawkinsville GA,USA,Southeast,October 18,106/72/41,3000,150-200,75,3,NONE,Standard,10.5,Gravel Roll series; segmented race format,Verified
Opelika Okey Dokey,Opelika AL,USA,Southeast,April 12,100+/65/34,5000,150-200,75,3,NONE,Standard,12,Gravel Roll series; hard red dirt; endless timberland,Verified
Standard Deluxe Dirt Road Century,Waverly AL,USA,Southeast,November 8,100/65/35,4000,150-200,65,3,NONE,Standard,10.5,Since 2016; 60%+ gravel/dirt; benefits Alabama Animal Rescue,Verified
Gravel Battle of Sumter Forest,Whitmire SC,USA,Southeast,May 17,74/49,4000,150,70,3,NONE,Standard,10.5,Southeast Gravel Series; Piedmont terrain,Verified
Race to Valhalla,Walhalla SC,USA,Southeast,April 26,50-70,7231,150,70,3,NONE,Technical,13,Southeast Gravel Series; Blue Ridge foothills; most challenging in series,Verified
Hellhole Gravel Grind Stage Race,Jamestown SC,USA,Southeast,October 3-5,150 (75x2),Low,150,100+,3,LOW,Unique,11.5,First/longest running US gravel STAGE RACE; night prologue; Swamp Fox history,Verified
Swamp Fox Gravel Fondo,Francis Marion NF SC,USA,Southeast,March 14-15,100/50/27,Low,100-150,65,3,NONE,Heat,9.5,Revolutionary War history; extremely remote,Verified
GRUSK,Circleville WV,USA,Southeast,July 10-12,89/50/32 (+220-316 bikepacking),8000+,200,75-100,3,NONE,Technical,13,WV Gravel Series flagship; highest WV peak; camping/music; premier East Coast event,Verified
Lost River Classic,Mathias WV,USA,Southeast,August 16,85/60/28,8500,150,75-95,3,NONE,Technical,13,WV Gravel Series; benefits Lost River Trails Coalition; Hardy County,Verified
OMG (Oxford MS Gravel),Oxford MS,USA,Southeast,January,100/50/20,7000+,100-150,65,4,NONE,Standard,11,MS Gravel Cup 4-race series opener; Holly Springs National Forest,Verified
Scratch Ankle Gravel,Milton FL,USA,Southeast,March,Multiple,Low,100-150,60-75,4,NONE,Standard,11,Blackwater River State Forest; unique Florida Panhandle gravel,Estimated

