Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost ($),Tier,Competition,Protocol Fit,Priority Score,Notes,Data Quality
Ottawa Valley Gravel Experience,Calabogie ON,Canada,Canada,April 12,60/34/21,1200,100-150,45-60,4,NONE,Cold,8,Canadian Gravel Cup #1; logging road network; K&P Trail finish; family-friendly,Verified
Glengarry Games Gravel Run,Maxville ON,Canada,Canada,August 3,71/52/26,1000,80-120,45-60,4,NONE,Standard,8.5,Canadian Gravel Cup #2; finishes on oval track in front of grandstands; Scottish heritage,Verified
Back Forty Highlander,Mississippi Station ON,Canada,Canada,September 6,67/43/22,1500,100-150,50-65,3,LOW,Standard,7.5,Canadian Gravel Cup #3; Back Forty Artisan Cheese Farm; white marble roads like Strada Bianche,Verified
River City Gravel Fondo,Campbell River BC,Canada,Canada,April 19-20,19-62,2000-4000,150-200,60-90,3,LOW,Cold,7.5,BC Gravel Series; exclusive private Mosaic Forest Management roads; remote wilderness,Verified
Burnt Bridge Classic,Cowichan Valley BC,Canada,Canada,May 17-18,Multiple,3000-4500,150-200,60-90,3,LOW,Standard,8,BC Gravel Series; will host 2026 Canadian Gravel Championships,Verified
Nanaimo Unpaved,Nanaimo BC,Canada,Canada,June 14-15,Multiple,2500-4000,100-150,60-90,4,NONE,Standard,7.5,BC Gravel Series; new event in 2025 expansion; Vancouver Island,Verified
Forbidden Gravel,Cumberland BC,Canada,Canada,September 13-14,Multiple,3000-4500,100-150,60-90,4,NONE,Standard,8,BC Gravel Series; series finale; Cumberland bike culture hub,Verified
Canmore Crux,Canmore AB,Canada,Canada,July 12,50/20,2500-4000,100-150,40-55,4,NONE,Standard,8.5,Canmore Nordic Centre; Canadian Rockies backdrop; affordable grassroots event,Verified
Cowichan Crusher Gravel Fondo,Lake Cowichan BC,Canada,Canada,June 1,15-75,1500-4000,150-200,60-75,3,LOW,Standard,7,Vancouver Island's oldest gravel fondo (8th edition); BC Triple Crown Part 1,Verified
MAAP Beechworth Granite Classic,Beechworth VIC,Australia,Australia,April 4-6,71/56/28/9,5250,1300,65-100,3,NONE,Heat,7.5,Not a race (non-competitive); 85% gravel; Champagne de Pilot granite roads; gin shots,Verified
Gravel and Granite,Tenterfield NSW,Australia,Australia,2025 TBC,31-62,2500-4000,100-150,55-80,4,NONE,Heat,8,Rugged landscapes; adaptive rider friendly; spectacular mountain views,Estimated
Marys Mayhem,Mudgee NSW,Australia,Australia,August 2-3,19-62 (2-day),1500-3000,100-150,55-80,4,LOW,Heat,8,Champagne gravel; craft brewers; live music; 2-day festival format; Graveleur event,Verified
Clarkes Gambit,Nelligen NSW,Australia,Australia,October 26-27,19-62 (2-day),1500-3000,80-120,65-100,4,NONE,Heat,8,4th year; Clyde River scenery; Mogo single-track network; overnighter format,Verified
Wollombi Gravel Fest,Wollombi Valley NSW,Australia,Australia,December 2025,56,2500-3500,100-150,100-130,3,NONE,Heat,8,3-day festival; Tiffany Cromwell & Valtteri Bottas hosted; gourmet dining; local wines,Verified
Noosa Gravel Enduro,Noosa Hinterland QLD,Australia,Australia,July 5-6,56,4100,150-200,120-140,3,LOW,Heat,7.5,Sunshine Coast premier gravel; Noosa Trail Network; 100% gravel; AusCycling sanctioned,Verified
Great Otway Gravel Grind,Forrest VIC,Australia,Australia,2026,Rally stages,3000-4500,100-200,65-100,4,LOW,Heat,7.5,Rally format with timed stages; Great Ocean Road views; 10th anniversary year,Verified
Sunday Creek Classic,Kenilworth QLD,Australia,Australia,May 23,75,9800,100-150,65-100,3,LOW,Heat,7.5,Almost entirely gravel; includes notorious Mt Buggery climb; one of Australia's toughest,Estimated
Wild Gravel,Gnowangerup WA,Australia,Australia,2025 TBC,62-93,1500-3000,100-150,60-85,4,LOW,Heat,8,WA's most spectacular gravel event; 2025 WA Bike Month regional event,Verified

