Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost ($),Tier,Competition,Protocol Fit,Priority Score,Notes,Data Quality
Gunni Grinder,Gunnison CO,USA,Mountain West,September 6,120/60/30,10000+,111,80-120,4,LOW,Altitude/Technical,11.5,5th annual; $5K cash purse; 7700ft base; verified 111 participants,Verified
Pony Xpress Gravel 160,Trinidad CO,USA,Mountain West,May 4,100/50/30,6500+,100-150,75-100,4,LOW,Altitude,10.5,Colorado Gravel Championship event; Fisher Peak views,Estimated
Mad Gravel,Elbert CO,USA,Mountain West,May 24-25,Various circuit,High plains,100-150,75-125,4,LOW,Standard,9,5th year; Saturday circuit + Sunday main; family-friendly,Estimated
KowTown Gravel,Kremmling CO,USA,Mountain West,July 5,95/65/34,7400+ base,100-150,75-100,4,LOW,Altitude,11.5,3rd annual; BLM land; post-race BBQ included,Estimated
Ned Gravel,Nederland CO,USA,Mountain West,July 12,4 courses,8200+ base,100-175,85-120,3,LOW,Altitude/Technical,10,High-altitude at 8200ft+; diversity/inclusion focus; equal prize purse,Estimated
Crooked Gravel,Winter Park CO,USA,Mountain West,August 2,95/25,10500 peak,100-200,100-150,3,LOW,Altitude,10,Gemini Adventures; 12-mile sustained climb to 10500ft,Estimated
Salida 76,Salida CO,USA,Mountain West,September 13,76,7000+ base,100-175,85-110,4,LOW,Altitude,10,Spectacular backcountry; 3 stocked aid stations,Estimated
Grassroots Gravel,Pueblo CO,USA,Mountain West,October 11,Various,4700 base,75-150,65-90,4,NONE,Standard,11,Late-season; lower altitude; accessible racing,Estimated
Wild Horse Gravel,De Beque CO,USA,Mountain West,May 17,65/46/30,5250 base,100-175,100-140,3,LOW,Technical/Altitude,10,High Lonesome Ranch exclusive; technical washboards,Estimated
Bighorn Gravel,Gypsum CO,USA,Mountain West,June 22,85/50/20,10000+ vert,100-150,100-150,3,LOW,Altitude/Technical,10,E-bike friendly short course; heart-of-Rockies location,Estimated
Dead Swede Gravel,Sheridan WY,USA,Mountain West,June 7,100/60/40/20,Bighorn climbing,100-200,75-120,3,LOW,Altitude/Technical,11.5,Premium Bighorn Mountain foothills; Bekton Hill Climb,Estimated
Cowboy Crusher,Glenrock WY,USA,Mountain West,July 19,121/75/40/17,9000/6500/3200/1000,100-175,75-125,4,LOW,Technical,9.5,Rocky Mountain foothills; champagne to whiskey gravel variety,Estimated
WYO 131,Lander WY,USA,Mountain West,September 13,131/75/45/13,10000+ (max 9576),100-200,100-175,3,LOW,Altitude,11.5,Wyoming Gravel Series; ultimate altitude challenge; Sinks Canyon descent,Estimated
The Mane Event Gravel,Sheridan WY,USA,Mountain West,September 20,78/54/32/25,Rolling foothills,75-150,60-100,4,NONE,Standard,11,Fall event; Koltiska Pumpkin Patch; supports local nonprofits,Estimated
Salty Lizard,Wendover UT,USA,Mountain West,April 4,98/74/38,3500,100-175,85-125,4,LOW,Unique,11.5,Utah Gravel Series opener; Bonneville Salt Flats views; 91% gravel,Estimated
Dirty Dino,Vernal UT,USA,Mountain West,June 13,102/67/27,Uinta terrain,75-150,85-125,4,LOW,Altitude,10.5,Jurass-kicked theme; Dinosaurland; Uinta Mountains,Estimated
Wasatch All-Road,Francis UT,USA,Mountain West,August 8,100/58/31,Extreme Wasatch Wall,100-175,90-130,3,LOW,Altitude/Technical,10,Utah Series finale; legendary Wasatch Wall climb,Estimated
Montana Gravel Challenge,Huson MT,USA,Mountain West,May 1,3-day (TT 11 + 56 + 45),5500 total,75-150,25-100,4,LOW,Standard,10.5,3-day stage race; Montana Off-Road Series; Nine Mile area,Estimated
Big Sky Gravel,Red Lodge MT,USA,Mountain West,August,100/50/22,Beartooth foothills,100-175,80-130,4,LOW,Altitude/Technical,9.5,Beartooth Mountains setting,Estimated
Dusty Bandita,Ovando MT,USA,Mountain West,Summer,80/45,Mountain terrain,Limited women+,100-150,4,NONE,Unique,13,Women+ only event; Great Divide/Tour Divide stopover town,Estimated
Bear Howard Gravel,Flagstaff AZ,USA,Mountain West,August 2,100/60/30,7000 base,100-175,75-120,4,LOW,Altitude,10,5th year; Saddle Mountain climb segment; Lowell Observatory finish,Estimated
Chino Grinder,Chino Valley AZ,USA,Mountain West,October 17,150/115/62/44/25,Prescott area,100-200,80-150,3,LOW,Technical,9,Multiple distance options; Shendoca Racing production,Estimated
Ruby Roubaix,Lamoille NV,USA,Mountain West,June 27,120/62/38/22,Ruby Mountains,150-200,80-125,3,LOW,Altitude/Technical,10,Remote northern Nevada; Ruby Mountains scenery; E-bike category,Estimated
Beaver Dam Gravel Grinder,Beaver Dam State Park NV,USA,Mountain West,June 21,Various,State park,50-100,50-75,4,NONE,Standard,11,Nevada's first and only state park gravel event; very grassroots,Estimated
Santa Fe Century Gravelón,Santa Fe NM,USA,Mountain West,May 16-17,55/25,7000 area,100-200,75-100,4,LOW,Altitude,10,40th edition 2026; timed event; stunning Northern NM,Verified
Galactic Grinder,Cedar Hill NM,USA,Mountain West,April,50/35/9,San Juan Alps,50-100,50-75,4,NONE,Technical,11,Aztec Adventures; Alien Crash Site theme; 4-mile singletrack,Estimated

