Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost ($),Tier,Competition,Protocol Fit,Priority Score,Notes,Data Quality
Real West Gravel,Pendleton OR,USA,Northwest,March 15,67/47,5000,150,85-110,3,NONE,Standard,10,Oregon Triple Crown Series opener; Eastern Oregon high desert,Verified
Sasquatch Duro,Carlton OR,USA,Northwest,April 11,65/37,3000+,150,85-110,3,NONE,Technical,11,OTC Series #2; Willamette Valley vineyards; varied terrain,Verified
Oregon Coast Gravel Epic,Waldport OR,USA,Northwest,May 2,60/49/37,4500,150-500,95-120,3,NONE,Standard,10,OTC Series #3; 65% logging roads; Siuslaw National Forest,Verified
West Coast Gravel,Yachats OR,USA,Northwest,May 3,45/34,3500,150,85-100,4,NONE,Standard,9,OTC Series #4; double-header weekend; coastal gravel,Verified
Oregon Gran Fondo,Cottage Grove OR,USA,Northwest,May 16,100/66/68,6000+,500,100-140,3,NONE,Standard,10,OTC Series #5; South Willamette Valley; Phil Gaimon participated,Verified
Takelma Gravel Grinder,Canyonville OR,USA,Northwest,June 27,55,4000,150,85-100,4,NONE,Technical,10,OTC Series #6; Southern Oregon; steep 9-15% grade climb,Verified
Bend Dirt Fest,Bend OR,USA,Northwest,July 11,Multiple,3000+,500,75-100,3,LOW,Standard,9,OTC Series Finale; multi-discipline MTB + gravel + trail run,Verified
Bald Eagle Gravel Grinder,Lock Haven PA,USA,Northeast,April 19,60/30/15,4000,200-300,65-85,4,LOW,Technical,9,PA Gravel Series #1; State Forest gravel; rugged terrain,Verified
Parker Dam Gravel Grinder,Clearfield County PA,USA,Northeast,May 10,65/35/20,4500,200-300,65-85,4,LOW,Standard,9,PA Gravel Series #2; logging roads and forest gravel,Verified
Camp Michaux Gravel Grinder,Gardners PA,USA,Northeast,June 29,55/30/15,4000,200-300,65-85,4,LOW,Technical,9,PA Gravel Series #3; Historic WWII POW camp area; rocky terrain,Verified
Mid-State Gravel Grinder,Central PA,USA,Northeast,August 3,65/35/18,5000,200-300,65-85,4,LOW,Standard,9,PA Gravel Series #4; chip timing,Verified
Trough Creek Gravel Grinder,Trough Creek State Park PA,USA,Northeast,September 21,60/30/15,4200,200-300,65-85,4,LOW,Standard,9,PA Gravel Series Finale; Huntingdon County; series awards,Verified
Pony Xpress - CO State Championship,Cokedale CO,USA,Rocky Mountain,April 19,100+,8000+,150-300,80-120,3,LOW,Altitude,10,USAC State Championship; Colorado mountain gravel,Verified
Dirty Hector - NY State Championship,Trumansburg NY,USA,Northeast,May 25,50-100,4000,200-400,75-100,3,LOW,Standard,10,USAC NY State Championship; Finger Lakes wine country,Verified
THE EQUALIZER - MO State Championship,Marthasville MO,USA,Midwest,July 26,100,5000,200-300,75-95,3,NONE,Standard,11,USAC MO State Championship; Missouri River Valley; emerging scene,Verified
Little Apple 100 - IL State Championship,Manhattan IL,USA,Midwest,August 3,100,2000,200-300,80-100,3,LOW,Standard,9,USAC IL State Championship; prairie gravel; fast flat course,Verified
Iowa State Gravel TT Championship,Amana IA,USA,Midwest,August 31,Time trial,1500,100-200,50-75,4,NONE,Technical,10,USAC IA State Championship; unique TT format; Amana Colonies,Verified
Unravel Gravel - VA State Championship,Cumberland VA,USA,Southeast,Fall TBD,62/31,3500,200,65-85,4,NONE,Technical,10,USAC VA State Championship; mixed surface with singletrack,Verified
Rasputitsa Dirt,Burke VT,USA,Northeast,March 29,46,5000,500-800,85-110,3,LOW,Technical,10,10th Anniversary 2026; early season mud fest; self-supported,Verified
Vermont Overland,Woodstock VT,USA,Northeast,August 24,54,7000,500+,95-130,3,LOW,Technical,10,One of oldest/most popular US gravel events; 7 sectors Vermont pavé,Verified
Raid Rockingham,SE NH,USA,Northeast,June 1,40-60,3000,200-400,65-85,4,NONE,Standard,9,GRVL Cycling since 2011; one of New England's oldest gravel rides,Verified
Gravel Unravel - Bon Jon Pass Out,Quilcene WA,USA,Northwest,June 14,77/55/35,4000,400,60-80,4,NONE,Technical,10,Peninsula Adventure Sports; remote Olympic Peninsula; Ted King impressed,Verified
Gravel Unravel - Why-Not-Chee,Hoquiam WA,USA,Northwest,July 26,77/42/36/17,5000+,400,60-80,4,NONE,Technical,10,Most epic race you've never heard of; remote camping required,Verified
The GRiT Adventure,Snoqualmie Pass WA,USA,Northwest,July 19,Multiple,4000+,200-300,70-90,4,NONE,Technical,10,North Cascades wilderness; brutal climbs; double-track,Verified

