Race Name,Location,Country,Region,Date/Month,Distance (mi),Elevation (ft),Field Size,Entry Cost ($),Tier,Competition,Protocol Fit,Priority Score,Notes,Data Quality
Nordic Chase Gravel Edition,Copenhagen to Oslo,Denmark/Sweden/Norway,Scandinavia,August 14-18 2026,497 (800km),23622,100,325,Ultra,Elite Ultra,ULTRA,8,Multi-country; self-supported; 110-hour cutoff; SOLD OUT; inaugural gravel edition,Verified
Muck n Mac Fest,Traquair House Scotland,UK,UK,June 7,31-50,4921,~200,75,4,LOW,Standard,7.5,Weekend festival; live music; enduro-style timed stages; cult Scottish following,Verified
North Wales Gravel X,Ruthin Wales,UK,UK,May 3,31-50,2625-3937,150-200,62,4,LOW,Standard,7,Shares UCI Graean Cymru route sections; reservoirs; remote Welsh riding,Verified
Lauf Gritfest,Cambrian Mountains Wales,UK,UK,June 20-22,78,8038,~200,190,3,LOW,Technical,8,3-day event; 7 timed enduro stages; Gravel Earth Series event; growing reputation,Verified
Dalby Grit,Dalby Forest North York Moors,UK,UK,June 28,68,3937,~150,75,4,LOW,Standard,6.5,New event 2025; punchy climbs; fast descents; forest gravel,Verified
JUST.GRAVEL,Southern Lake District,UK,UK,Various 2025,25-50,1969-3281,100-150,57,4,NONE,Standard,6,Beginner-friendly options; Forestry England collaboration,Estimated
Gravel Rocks,North York Moors,UK,UK,TBC 2025,62,4921,100-150,100,4,LOW,Technical,7,Enduro-style; night stages; mystery timed sections,Estimated
Tor Divide,Peak District,UK,UK,TBC 2025,100,6562,~100,63,4,NONE,Cold,6.5,Non-competitive; unsupported; single-stage bikepacking format,Verified
Yorkshire Coast Dirt Dash,Whitby,UK,UK,July 5-6,100 (2-day),8202,80-100,100,4,NONE,Standard,6.5,2-day bikepacking event; campsite social; scenic coastal route,Verified
Dunoon Dirt Dash,Dunoon Scotland,UK,UK,September 27-28,100 (2-day),8202,80-100,100,4,NONE,Cold,6.5,Scottish bikepacking; autumn riding; community event,Verified
Haldon Heroic,Haldon Forest Devon,UK,UK,Various 2025,15-50,1640-3937,~150,40-70,4,LOW,Standard,6,Self-navigate format; chip timing; forest trails,Verified
Grinduro Germany,Hellenthal Eifel,Germany,Germany,May 23-25,62,6562,300-500,130,3,LOW,Technical,8,Enduro format (4 timed stages); festival weekend; live music expo,Verified
Hegau Gravel Race,Singen,Germany,Germany,June 28-29,68,4921,~200,87,3,LOW,Standard,7.5,UCI Gravel World Series event; 3-day stage race format; volcanic landscapes,Verified
3Rides Aachen,Winterberg/Aachen,Germany,Germany,May 2025,62,5906,150-200,87,3,LOW,Technical,7,UCI World Series qualifier; 3-day stage race; Sauerland mountains,Verified
Rad am Ring Gravel,Nürburgring,Germany,Germany,TBC 2025,TBC,TBC,150-200,76,4,LOW,Standard,6.5,New event 2025; designed by Paul Voß (ex-Tour de France); Nordschleife-adjacent,Estimated
Gravel Fever,Châtellerault France,France,France,September 13-15,31-310,Various,500+,38-217,3,LOW,Standard,7.5,French Championships host; Ultra 500 option; multi-distance festival,Verified
Wish One Millau,Millau Grands Causses,France,France,June 15-16,68,5906,200-300,87,3,LOW,Standard,7.5,UCI Gravel World Series event; dramatic causses landscape; only French UCI qualifier,Verified
La Drômoise Gravel,Die Drôme France,France,France,September 2025,17-47,1312-3281,150-200,38-54,4,NONE,Standard,6.5,Classic gravel event; Vercors mountain backdrop; vineyards; family-friendly,Verified
Grinduro France,Xonrupt-Longemer Vosges,France,France,June 28-30,62,6562,200-300,130,3,LOW,Technical,7.5,New venue 2024; Vosges mountains; enduro format; party atmosphere,Verified
Houffa Gravel,Houffalize Belgian Ardennes,Belgium,Benelux,August 30,31-88,2297-6890,500+,65-98,3,LOW,Technical,8,UCI World Series qualifier; 2026 European Champs course preview; MTB capital,Verified
Gravel One Fifty,Roden Drenthe,Netherlands,Benelux,April 25,50-93,876,2000,87-103,3,LOW,Standard,8,Largest UCI gravel event; pan-flat but challenging surface; sold out 2025,Verified
Dusty Gravel Series - Andenne,Andenne,Belgium,Benelux,April 13,47-62,3281,150-200,49-65,4,LOW,Standard,7,Part of Belgium Bike Festival; Condroz region; series with overall ranking,Verified
Dusty Gravel - Lacs de l'Eau d'Heure,Cerfontaine,Belgium,Benelux,April 19,43-68,3281-5906,~150,49-65,4,LOW,Standard,6.5,Lake district setting; Wallonia exploration,Verified
Ardenne Gravel Stages,Vielsalm/Engreux,Belgium,Benelux,September 26-28,43-68 x 3 days,3773-5906/day,170,163,3,LOW,Cold,7.5,First Belgian gravel stage race; attracted WorldTour names (Terpstra Naesen),Verified

